LONGITUDE LATITUDE PRCP
-80.3677 32.866 6.21
-80.3293 32.8512 6.61
-80.2911 32.8364 7.52
-80.2528 32.8216 8.33
-80.2146 32.8068 8.23
-80.1764 32.792 8.0
-80.1382 32.7771 8.11
-80.1 32.7622 8.29
-80.0619 32.7473 8.2
-80.0237 32.7324 8.54
-79.9856 32.7175 8.73
-79.9476 32.7025 8.87
-79.9095 32.6875 8.71
-81.9809 33.5011 1.3
-81.9416 33.4871 1.31
-81.9023 33.4732 1.35
-81.8631 33.4592 1.43
-81.8238 33.4452 1.71
-81.7846 33.4312 1.93
-81.7454 33.4171 2.04
-81.7063 33.4031 1.93
-81.6671 33.389 2.02
-81.628 33.3749 2.1
-81.5889 33.3608 2.46
-81.5498 33.3466 2.67
-81.5108 33.3325 2.7
-81.4717 33.3183 2.78
-81.4327 33.3041 3.04
-81.3938 33.2898 3.19
-81.3548 33.2756 3.13
-81.3159 33.2613 3.02
-81.277 33.247 2.98
-81.2381 33.2327 2.94
-81.1992 33.2184 2.99
-81.1604 33.2041 2.9
-81.1215 33.1897 3.1
-81.0827 33.1753 3.24
-81.044 33.1609 2.98
-81.0052 33.1465 3.07
-80.9665 33.132 3.34
-80.9278 33.1176 3.56
-80.8891 33.1031 3.39
-80.8505 33.0886 3.45
-80.8118 33.074 2.85
-80.7732 33.0595 2.74
-80.7346 33.0449 2.89
-80.6961 33.0303 3.12
-80.6575 33.0157 3.37
-80.619 33.0011 3.63
-80.5805 32.9865 3.73
-80.5421 32.9718 3.98
-80.5036 32.9571 4.4
-80.4652 32.9424 4.93
-80.4268 32.9277 5.34
-80.3884 32.9129 5.8
-80.3501 32.8982 6.25
-80.3117 32.8834 6.76
-80.2734 32.8686 7.3
-80.2352 32.8538 7.74
-80.1969 32.8389 8.08
-80.1587 32.8241 8.65
-80.1205 32.8092 8.89
-80.0823 32.7943 8.86
-80.0441 32.7794 8.76
-80.006 32.7645 8.99
-79.9679 32.7495 9.28
-79.9298 32.7345 9.22
-79.8917 32.7195 9.44
