,DATE,SITENUMBER,LATITUDE,LONGITUDE,GAGE_MAX,YEAR,MONTH
28109,2015-03-31,02156300,34.9481803,-81.86871409999998,5.35,2015,3
28110,2015-03-31,021564493,34.66305556,-81.44722220000001,308.37,2015,3
28111,2015-03-31,02156500,34.5951393,-81.42120890000002,4.77,2015,3
28112,2015-03-31,02157470,35.03888889,-82.21861109999998,6.19,2015,3
28113,2015-03-31,02157510,34.940118700000006,-82.12344209999998,2.54,2015,3
28114,2015-03-31,02158408,34.92095239,-82.13010899999998,5.19,2015,3
28115,2015-03-31,02160105,34.535416299999994,-81.548158,6.81,2015,3
28116,2015-03-31,02160325,34.88345068,-82.30122779999998,2.34,2015,3
28117,2015-03-31,02160326,34.85650727,-82.22622468,5.14,2015,3
28118,2015-03-31,02160381,34.71678818,-82.1737222,3.22,2015,3
28119,2015-03-31,02160390,34.68345815,-82.0398229,3.71,2015,3
28120,2015-03-31,02160700,34.5093039,-81.5981594,17.91,2015,3
28121,2015-03-31,02160991,34.26070285,-81.3303747,224.95,2015,3
28122,2015-03-31,02161000,34.24320335,-81.319541,9.61,2015,3
28123,2015-03-31,02162035,34.048333299999996,-81.0733333,156.08,2015,3
28124,2015-03-31,02162093,34.02737615,-81.0417588,2.12,2015,3
28125,2015-03-31,02162290,35.06345088,-82.65012800000002,3.0,2015,3
28126,2015-03-31,02162350,35.1201172,-82.537623,2.74,2015,3
28127,2015-03-31,021623975,35.08388889,-82.46,4.95,2015,3
28128,2015-03-31,02162500,34.84233977,-82.4806814,3.56,2015,3
28129,2015-03-31,02163500,34.39178518,-82.22345068,3.54,2015,3
28130,2015-03-31,02164000,34.800118299999994,-82.3651213,1.51,2015,3
28131,2015-03-31,02164110,34.65289568,-82.29761859999998,7.34,2015,3
28132,2015-03-31,02165200,34.52011957,-82.15705140000001,1.53,2015,3
28133,2015-03-31,021652801,34.525,-82.1383333,5.04,2015,3
28134,2015-03-31,02166501,34.16763036,-81.9078923,11.02,2015,3
28135,2015-03-31,02167000,34.17457619,-81.864002,6.51,2015,3
28136,2015-03-31,02167450,34.20957949,-81.7631659,4.85,2015,3
28137,2015-03-31,02167582,34.1687501,-81.61038399,3.43,2015,3
28138,2015-03-31,02167705,34.04458079,-81.697051,6.47,2015,3
28139,2015-03-31,02168504,34.05098220000001,-81.2095418,9.06,2015,3
28140,2015-03-31,02169000,34.01404160000001,-81.08787170000002,5.3,2015,3
28141,2015-03-31,02169500,33.99320985,-81.049815,7.64,2015,3
28142,2015-03-31,02169506,33.9875,-81.0275,2.57,2015,3
28143,2015-03-31,02169568,34.01293324,-80.982035,2.54,2015,3
28144,2015-03-31,02169570,33.98960016,-80.97425729999998,3.7,2015,3
28145,2015-03-31,02169625,33.81071,-80.8670348,13.79,2015,3
28146,2015-03-31,02171001,33.4501652,-80.1636949,28.43,2015,3
28147,2015-03-31,02171645,33.4275,-79.915,23.4,2015,3
28148,2015-03-31,02171700,33.3048893,-79.67812629999997,11.52,2015,3
28149,2015-03-31,02171800,33.20850056,-79.38255799999997,7.89,2015,3
28150,2015-03-31,02171850,33.1840565,-79.4058929,12.01,2015,3
28151,2015-03-31,02172001,33.24461337,-79.991469,9.76,2015,3
28152,2015-03-31,02172002,33.21516925,-79.9745248,8.84,2015,3
28153,2015-03-31,02172035,33.131558399999996,-79.7836887,6.41,2015,3
28154,2015-03-31,02172040,33.06378245,-79.957027,18.25,2015,3
28155,2015-03-31,02172050,33.05767134,-79.93619338,19.03,2015,3
28156,2015-03-31,021720677,32.89045228,-79.9628645,14.66,2015,3
28157,2015-03-31,021720698,32.8590638,-79.8961963,22.45,2015,3
28158,2015-03-31,021720869,32.8346201,-80.02370140000002,12.98,2015,3
28159,2015-03-31,02172300,33.75347736,-81.6017714,3.83,2015,3
28160,2015-03-31,02172558,33.52027778,-81.41027779999997,14.07,2015,3
28161,2015-03-31,02173000,33.39320916,-81.1331559,6.86,2015,3
28162,2015-03-31,02173030,33.3590442,-81.0595425,9.44,2015,3
28163,2015-03-31,02173051,33.33710079,-81.01870799999998,10.92,2015,3
28164,2015-03-31,02173212,33.69,-81.2541667,2.69,2015,3
28165,2015-03-31,02173500,33.48348715,-80.87342578,7.71,2015,3
28166,2015-03-31,02175000,33.02794645,-80.39148759999998,11.41,2015,3
28167,2015-03-31,02175500,32.98904958,-81.0526044,4.52,2015,3
28168,2015-03-31,02176500,32.836277700000004,-81.1317718,7.41,2015,3
28169,2015-03-31,02177000,34.8139814,-83.305993,,2015,3
28170,2015-03-31,02186000,34.801501200000004,-82.74847249999998,2.51,2015,3
28171,2015-03-31,02186702,34.645,-82.8005556,3.88,2015,3
28172,2015-03-31,02187910,34.38316394,-82.577352,4.5,2015,3
28173,2015-03-31,02192500,34.07150595,-82.5006853,4.13,2015,3
28174,2015-03-31,02195520,33.592911799999996,-82.12317459,17.7,2015,3
28175,2015-03-31,02196000,33.72929717,-82.1817873,8.46,2015,3
28176,2015-03-31,02196485,33.54930154,-82.03678359999998,7.24,2015,3
28177,2015-03-31,02196999,33.37319627,-81.9420599,115.67,2015,3
28178,2015-03-31,02197000,33.3737518,-81.94289329,104.95,2015,3
28179,2015-03-31,02197300,33.3848664,-81.61649799999998,,2015,3
28180,2015-03-31,02197500,32.93904727,-81.50260779999998,11.82,2015,3
28181,2015-03-31,02198375,32.70333333,-81.42833329999998,12.11,2015,3
28182,2015-03-31,02198500,32.52823709,-81.26871649,11.29,2015,3
28183,2015-03-31,02198760,32.33936049,-81.12844379,10.02,2015,3
28184,2015-04-30,02110400,33.953505,-78.71973988,8.59,2015,4
28185,2015-04-30,02110500,33.9126719,-78.7150175,9.51,2015,4
28186,2015-04-30,02110550,33.8508333,-78.8972222,6.36,2015,4
28187,2015-04-30,02110701,33.86100349,-79.04114709999998,,2015,4
28188,2015-04-30,02110725,33.6871151,-79.0047569,13.13,2015,4
28189,2015-04-30,02110777,33.8515612,-78.6558483,16.5,2015,4
28190,2015-04-30,02110802,33.64905837,-79.09420639,17.88,2015,4
28191,2015-04-30,021108125,33.50655724,-79.1269867,7.22,2015,4
28192,2015-04-30,02110815,33.44461245,-79.1739341,18.51,2015,4
28193,2015-04-30,02130561,34.60626798,-79.7883963,81.4,2015,4
28194,2015-04-30,02130840,34.6633333,-80.2116667,8.79,2015,4
28195,2015-04-30,02130900,34.51404244,-80.18312440000003,9.35,2015,4
28196,2015-04-30,02130910,34.39737618,-80.14979100000002,6.86,2015,4
28197,2015-04-30,02130980,34.24376518,-79.7447833,5.98,2015,4
28198,2015-04-30,02131000,34.20432518,-79.5483896,21.66,2015,4
28199,2015-04-30,02131010,34.15738145,-79.55339040000001,28.55,2015,4
28200,2015-04-30,02131472,34.51626465,-80.58285140000002,,2015,4
28201,2015-04-30,02131500,34.2501545,-80.2136816,13.25,2015,4
28202,2015-04-30,02132000,34.05154846,-79.7539545,11.0,2015,4
28203,2015-04-30,02135000,34.05710829,-79.2469897,8.26,2015,4
28204,2015-04-30,02136000,33.66127545,-79.83590448,9.78,2015,4
28205,2015-04-30,02136361,33.32850037,-79.3381102,1.61,2015,4
28206,2015-04-30,021457492,35.065,-81.1383333,11.63,2015,4
28207,2015-04-30,021459367,34.9868083,-81.00833889,10.45,2015,4
